"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region"
155,12,2930,30,"MTC-04330",-28.7,NA,"Pottery Food Residue","intcal13",2
158,12,2610,35,"MTC-04332",-26.7,NA,"Lacquer","intcal13",2
159,12,2980,35,"MTC-03795",-28.7,NA,"Lacquer","intcal13",2
160,12,3040,60,"MTC-03796",-29.1,NA,"Lacquer","intcal13",2
161,12,3140,40,"Beta-163814",-26.2,NA,"Seed/Nut","intcal13",2
167,12,2960,20,"PLD-4127",-26.9,0.12,"Pottery Food Residue","intcal13",2
170,3,5005,35,"MTC-07410",-26.1,NA,"Charred Remain","intcal13",2
187,24,3965,45,"MTC-08495",-27.7,1,"Pottery Food Residue","intcal13",2
188,24,3950,100,"MTC-08496",-30.3,0.7,"Pottery Food Residue","intcal13",2
189,24,5725,45,"MTC-08497",-27.1,1,"Pottery Food Residue","intcal13",2
196,23,6870,50,"MTC-08492",-31.4,0.7,"Pottery Food Residue","intcal13",2
197,9,4015,25,"PLD-4176",-26.37,0.15,"Charred Remain","intcal13",2
198,9,4095,25,"PLD-4177",-28.25,0.13,"Charred Remain","intcal13",2
199,9,3995,25,"PLD-4178",-28.11,0.15,"Charred Remain","intcal13",2
200,9,4000,25,"PLD-4179",-26.32,0.13,"Charred Remain","intcal13",2
201,9,4040,25,"PLD-4180",-28.77,0.13,"Charred Remain","intcal13",2
202,9,4055,25,"PLD-4181",-27.73,0.14,"Charred Remain","intcal13",2
203,9,4010,25,"PLD-4182",-26.66,0.14,"Charred Remain","intcal13",2
204,9,3995,25,"PLD-4183",-29.18,0.13,"Charred Remain","intcal13",2
205,9,4040,30,"PLD-4184",-28.32,0.16,"Charred Remain","intcal13",2
220,26,2530,45,"MTC-08954",-29.3,2.8,"Pottery Food Residue","intcal13",2
222,26,2535,20,"PLD-8227",-27.31,0.18,"Pottery Food Residue","intcal13",2
225,10,4730,40,"Beta-180279",-27.8,NA,"Pottery Food Residue","intcal13",2
226,10,4510,35,"MTC-03491",-26.6,NA,"Pottery Food Residue","intcal13",2
227,10,4615,40,"MTC-03776",-27.7,NA,"Pottery Food Residue","intcal13",2
230,10,4525,35,"MTC-03492",-27.5,NA,"Pottery Food Residue","intcal13",2
231,10,4565,40,"MTC-03778",-31.7,NA,"Pottery Food Residue","intcal13",2
232,10,4560,40,"Beta-180281",-26.4,NA,"Pottery Food Residue","intcal13",2
233,10,4560,40,"Beta-180280",-26.6,NA,"Pottery Food Residue","intcal13",2
234,10,4550,40,"Beta-182488",-26.2,NA,"Pottery Food Residue","intcal13",2
236,10,4550,35,"MTC-03493",-38.1,NA,"Charred Remain","intcal13",2
237,10,4475,35,"MTC-03494",-33,NA,"Charred Remain","intcal13",2
238,10,4500,35,"MTC-03495",-29.2,NA,"Charred Remain","intcal13",2
239,10,4510,35,"MTC-03496",-31.3,NA,"Charred Remain","intcal13",2
240,10,4500,60,"MTC-03497",-29.8,NA,"Charred Remain","intcal13",2
241,10,4515,35,"MTC-03498",-29.9,NA,"Charred Remain","intcal13",2
242,10,4515,35,"MTC-03499",-27.7,NA,"Charred Remain","intcal13",2
243,10,4530,35,"MTC-03500",-27.2,NA,"Charred Remain","intcal13",2
244,10,4460,35,"MTC-03501",-26.6,NA,"Charred Remain","intcal13",2
245,10,4440,50,"MTC-03502",-26.2,NA,"Charred Remain","intcal13",2
247,10,4455,35,"MTC-03503",-27.6,NA,"Charred Remain","intcal13",2
248,10,4505,35,"MTC-03504",-27.8,NA,"Charred Remain","intcal13",2
249,10,4525,35,"MTC-03505",-27,NA,"Charred Remain","intcal13",2
250,10,4540,35,"MTC-03506",-27,NA,"Charred Remain","intcal13",2
251,14,2570,30,"IAAA-41126",-26.63,0.6,"Pottery Food Residue","intcal13",2
271,33,3175,25,"PLD-4171",-27.85,0.13,"Seed/Nut","intcal13",2
277,22,4370,40,"Tka-14431",-27.3,NA,"Seed/Nut","intcal13",2
281,6,4315,40,"Tka-14478",-27,NA,"Seed/Nut","intcal13",2
283,6,4320,35,"Tka-14480",-29,NA,"Seed/Nut","intcal13",2
289,5,4290,40,"Tka-14487",-28.1,NA,"Pottery Food Residue","intcal13",2
301,6,4110,35,"Tka-14499",-28.5,NA,"Pottery Food Residue","intcal13",2
302,6,4025,35,"Tka-14500",-26.8,NA,"Pottery Food Residue","intcal13",2
303,6,3995,30,"Tka-14501",-26.8,NA,"Pottery Food Residue","intcal13",2
305,5,4005,40,"Tka-14424",-31.7,NA,"Charred Remain","intcal13",2
310,6,4602,36,"IAAA-50510",-29.6,NA,"Seed/Nut","intcal13",2
311,6,4430,50,"Beta-174582",-26.1,NA,"Seed/Nut","intcal13",2
312,6,4350,50,"Beta-174574",-27.6,NA,"Wood","intcal13",2
313,6,4400,40,"Beta-174575",-27.6,NA,"Wood","intcal13",2
314,6,4660,50,"Beta-174576",-26.6,NA,"Seed/Nut","intcal13",2
315,6,4102,41,"IAAA-52426",-28.3,NA,"Seed/Nut","intcal13",2
317,22,4420,40,"IAAA-70632",-29.4,NA,"Wood","intcal13",2
319,22,4270,40,"IAAA-70634",-26.7,NA,"Seed/Nut","intcal13",2
320,6,4440,40,"Beta-194377",-26.7,NA,"Charred Remain","intcal13",2
321,6,4500,40,"Beta-194380",-26.8,NA,"Charred Remain","intcal13",2
326,9,4080,40,"Beta-199689",-27.1,NA,"Charred Remain","intcal13",2
327,5,3750,80,"Beta-87145",-26.1,NA,"Charred Remain","intcal13",2
329,5,5030,50,"Beta-116000",-26.7,NA,"Wood","intcal13",2
330,5,4950,50,"Beta-116001",-27.4,NA,"Wood","intcal13",2
331,5,5050,60,"Beta-87143",-27.8,NA,"Seed/Nut","intcal13",2
332,5,4960,60,"Beta-87144",-31.6,NA,"Organic","intcal13",2
335,5,5145,90,"NUTA-5368",-26.3,NA,"Wood","intcal13",2
336,5,4842,86,"NUTA-5375",-26.4,NA,"Wood","intcal13",2
338,5,5103,87,"NUTA-5373",-26.7,NA,"Wood","intcal13",2
341,5,5108,196,"NUTA-5446",-26.6,NA,"Wood","intcal13",2
342,5,4970,119,"NUTA-5448",-26.8,NA,"Wood","intcal13",2
343,5,4980,40,"Beta-119437",-27.2,NA,"Charred Remain","intcal13",2
344,5,5050,40,"Beta-119438",-26.4,NA,"Charred Remain","intcal13",2
352,5,4970,50,"Beta-115999",-26.8,NA,"Wood","intcal13",2
353,5,4780,70,"Beta-127603",-27,NA,"Charred Remain","intcal13",2
354,5,4580,70,"Beta-127604",-28,NA,"Charred Remain","intcal13",2
355,5,4970,50,"Beta-112341",-26.4,NA,"Wood","intcal13",2
362,6,4980,40,"IAAA-60564",-26.1,NA,"Wood","intcal13",2
366,5,4680,50,"Beta-112353",-27.4,NA,"Wood","intcal13",2
367,5,4650,50,"Beta-111795",-32.5,NA,"Wood","intcal13",2
369,5,4570,50,"Beta-112349",-31.7,NA,"Wood","intcal13",2
370,5,4600,50,"Beta-112350",-28.2,NA,"Wood","intcal13",2
375,5,4640,50,"Beta-112348",-26.5,NA,"Wood","intcal13",2
378,44,4470,40,"IAAA-51678",-30.4,NA,"Charred Remain","intcal13",2
379,44,4700,40,"IAAA-51679",-27,NA,"Charred Remain","intcal13",2
380,10,4470,40,"Beta-137327",-26.2,NA,"Charred Remain","intcal13",2
382,10,4460,40,"Beta-137329",-27,NA,"Charred Remain","intcal13",2
383,10,4560,40,"Beta-137330",-26.4,NA,"Charred Remain","intcal13",2
384,10,4470,40,"Beta-137331",-26.5,NA,"Charred Remain","intcal13",2
385,5,4560,50,"Beta-112346",-26.5,NA,"Wood","intcal13",2
386,5,4430,50,"Beta-112347",-28.9,NA,"Wood","intcal13",2
389,6,4460,40,"Beta-194378",-26.3,NA,"Charred Remain","intcal13",2
393,31,4570,40,"IAAA-60532",-26.4,NA,"Charred Remain","intcal13",2
398,5,4470,50,"Beta-112337",-27.1,NA,"Wood","intcal13",2
399,5,4410,60,"Beta-112338",-26.9,NA,"Wood","intcal13",2
403,5,4330,50,"Beta-112342",-29,NA,"Wood","intcal13",2
404,5,4490,70,"Beta-111794",-28.4,NA,"Wood","intcal13",2
407,5,4630,60,"Beta-116080",-27.4,NA,"Wood","intcal13",2
