"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region","Ref"
1,1,4690,40,"Beta-140235",-26,NA,"Charcoal","intcal13",2,"http://sitereports.nabunken.go.jp/1018"
2,1,3510,40,"Beta-140236",-27.1,NA,"Charcoal","intcal13",2,"http://sitereports.nabunken.go.jp/1018"
3,1,3630,40,"Beta-140237",-26.1,NA,"Charcoal","intcal13",2,"http://sitereports.nabunken.go.jp/1018"
4,1,4810,40,"Beta-140238",-25.5,NA,"Charcoal","intcal13",2,"http://sitereports.nabunken.go.jp/1018"
5,21,3675,40,"MTC-08486",-24.4,1.5,"Pottery Residue ","intcal13",2,"Kenichi Kobayashi  2009"
6,22,4425,45,"MTC-08487",-28.4,0.9,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
7,22,4580,45,"MTC-08488",-25.7,1.3,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
8,22,4600,45,"MTC-08489",-29.8,0.8,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
9,22,4650,45,"MTC-08490",-27.7,1.2,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
10,22,4380,100,"MTC-08491",-31.5,0.8,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
15,5,4360,45,"MTC-04036",-27.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
16,5,4845,40,"MTC-04299",-28.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
17,5,4220,50,"MTC-04037",-26.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
19,5,4630,40,"Beta-194402",-26.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
20,5,4810,40,"MTC-04300",-30,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
21,5,4530,40,"MTC-04588",-26.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
22,5,4530,45,"MTC-04038",-27.5,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
23,5,4570,40,"Beta-189559",-26.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
24,5,4555,40,"MTC-04301",-27.1,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
25,5,4530,50,"MTC-04039",-28,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
26,5,5040,190,"MTC-04040",-51,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
27,5,4980,40,"Beta-189562",-25.6,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
28,5,4900,60,"MTC-04711",-27.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
30,5,4980,45,"MTC-04042",-24.5,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
31,5,5010,40,"Beta-189561",-25.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
32,5,5310,45,"MTC-04043",-27.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
33,5,5340,50,"Beta-189560",-24.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
34,5,4695,45,"MTC-04044",-27.4,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
35,5,4880,40,"Beta-189563",-25.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
36,5,4900,90,"MTC-04712",-28.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
37,5,4520,60,"MTC-04302",-26.1,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
38,5,5195,40,"MTC-04045",-26.4,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
41,5,4795,40,"MTC-04304",-29.1,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
42,5,3900,80,"IAAA-40509",-32.02,0.61,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
